"","latitude","longitude","ocean_prd"
"304",-5.5,134.5,976.729596153846
"305",-5.5,135.5,985.994060185185
"306",-5.5,136.5,1334.9778912037
"307",-5.5,137.5,2077.45537356322
"308",-5.5,138.5,2749.60083333333
"309",-4.5,96.5,222.640805555556
"310",-4.5,97.5,228.149150462963
"311",-4.5,98.5,242.602712962963
"312",-4.5,99.5,263.534752314815
"313",-4.5,100.5,300.82412037037
"314",-4.5,101.5,347.937122685185
"315",-4.5,102.5,505.700947222222
"316",-4.5,103.5,688.193623333333
"317",-4.5,105.5,1726.28572222222
"318",-4.5,106.5,1010.82098611111
"319",-4.5,107.5,670.897280092593
"320",-4.5,108.5,568.461506944444
"321",-4.5,109.5,568.1680625
"322",-4.5,110.5,620.2095
"323",-4.5,111.5,616.183611111111
"324",-4.5,112.5,683.4388125
"325",-4.5,113.5,776.322810185185
"326",-4.5,114.5,1006.99816406926
"327",-4.5,115.5,867.167782407407
"328",-4.5,116.5,665.494664351852
"329",-4.5,117.5,491.926453703704
"330",-4.5,118.5,411.322078703704
"331",-4.5,119.5,606.3195
"332",-4.5,120.5,579.553809027778
"333",-4.5,121.5,400.910561403509
"334",-4.5,122.5,1210.9385952381
"335",-4.5,123.5,394.558798387097
"336",-4.5,124.5,414.741155092593
"337",-4.5,125.5,458.198083333333
"338",-4.5,126.5,472.762530092593
"339",-4.5,127.5,508.227199074074
"340",-4.5,128.5,487.559270833333
"341",-4.5,129.5,453.79469212963
"342",-4.5,130.5,531.756946759259
"343",-4.5,131.5,614.69455021645
"344",-4.5,132.5,615.848449074074
"345",-4.5,133.5,689.671522058823
"346",-4.5,134.5,797.374508953168
"347",-4.5,135.5,1215.71722451791
"348",-4.5,136.5,1752.88530627706
"349",-4.5,137.5,NA
"350",-3.5,95.5,229.06255787037
"351",-3.5,96.5,233.755465277778
"352",-3.5,97.5,247.487398148148
"353",-3.5,98.5,265.137226851852
"354",-3.5,99.5,294.160780092593
"355",-3.5,100.5,365.903577134986
"356",-3.5,101.5,573.955492676768
"357",-3.5,102.5,1031.32158333333
"358",-3.5,105.5,2214.68486111111
"359",-3.5,106.5,1139.82541406926
"360",-3.5,107.5,726.581065656566
"361",-3.5,108.5,647.168602941176
"362",-3.5,109.5,788.106784722222
"363",-3.5,110.5,1412.02785416667
"364",-3.5,111.5,1516.73009090909
"365",-3.5,112.5,1652.43033964646
"366",-3.5,113.5,1923.65983
"367",-3.5,114.5,2129.37737140637
"368",-3.5,115.5,1420.42819047619
"369",-3.5,116.5,918.478544871795
"370",-3.5,117.5,531.333719907407
"371",-3.5,118.5,435.907858585859
"372",-3.5,119.5,667.400833333333
"373",-3.5,120.5,523.325153333333
"374",-3.5,121.5,462.712645833333
"375",-3.5,122.5,535.803004385965
"376",-3.5,123.5,383.255173809524
"377",-3.5,124.5,380.483865740741
"378",-3.5,125.5,453.527824074074
"379",-3.5,126.5,636.154427272727
"380",-3.5,127.5,616.601609195402
"381",-3.5,128.5,624.843993620415
"382",-3.5,129.5,548.547986570248
"383",-3.5,130.5,574.670922348485
"384",-3.5,131.5,541.503654761905
"385",-3.5,132.5,599.991630434783
"386",-3.5,133.5,1266.20551666667
"387",-3.5,134.5,694.606291666667
"388",-3.5,135.5,565.15744047619
"389",-2.5,95.5,241.423733796296
"390",-2.5,96.5,249.422155092593
"391",-2.5,97.5,269.114273148148
"392",-2.5,98.5,295.881743055556
"393",-2.5,99.5,335.031071354167
"394",-2.5,100.5,436.898158585859
"395",-2.5,101.5,780.823833333333
"396",-2.5,104.5,NA
"397",-2.5,105.5,1809.25670833333
"398",-2.5,106.5,819.097387301587
"399",-2.5,107.5,580.934794642857
"400",-2.5,108.5,613.8162265625
"401",-2.5,109.5,1035.802125
"402",-2.5,110.5,2050.79238888889
"403",-2.5,111.5,NA
"404",-2.5,113.5,NA
"405",-2.5,116.5,1044.92691269841
"406",-2.5,117.5,538.364668981481
"407",-2.5,118.5,399.238558823529
"408",-2.5,119.5,672.020083333333
"409",-2.5,120.5,712.556430555556
"410",-2.5,121.5,627.046666666667
"411",-2.5,122.5,353.200636363636
"412",-2.5,123.5,405.897835784314
"413",-2.5,124.5,373.626252380952
"414",-2.5,125.5,393.592323529412
"415",-2.5,126.5,463.674465277778
"416",-2.5,127.5,507.103814814815
"417",-2.5,128.5,448.54736827957
"418",-2.5,129.5,513.734067204301
"419",-2.5,130.5,545.296063888889
"420",-2.5,131.5,780.9279375
"421",-2.5,132.5,1641.58169444444
"422",-2.5,133.5,2411.64133333333
"423",-2.5,134.5,427.009618421053
"424",-2.5,135.5,431.623100490196
"425",-2.5,136.5,874.405076923077
"426",-2.5,137.5,2663.39833333333
"427",-2.5,139.5,880.923
"428",-2.5,140.5,519.615
"429",-2.5,141.5,479.901209770115
"430",-1.5,94.5,229.524166666667
"431",-1.5,95.5,251.243532407407
"432",-1.5,96.5,269.252553240741
"433",-1.5,97.5,288.820962962963
"434",-1.5,98.5,343.070557471264
"435",-1.5,99.5,370.58133045977
"436",-1.5,100.5,429.62651754386
"437",-1.5,104.5,1765.88086265432
"438",-1.5,105.5,910.080600694444
"439",-1.5,106.5,593.690542857143
"440",-1.5,107.5,526.990349537037
"441",-1.5,108.5,729.175055555556
"442",-1.5,109.5,1856.77750520833
"443",-1.5,110.5,NA
"444",-1.5,116.5,1399.36713194444
"445",-1.5,117.5,624.286291666667
"446",-1.5,118.5,371.70656712963
"447",-1.5,119.5,516.82475
"448",-1.5,120.5,319.541861111111
"449",-1.5,121.5,350.648645833333
"450",-1.5,122.5,372.754636666667
"451",-1.5,123.5,574.782525862069
"452",-1.5,124.5,521.069294642857
"453",-1.5,125.5,473.626580555556
"454",-1.5,126.5,504.716166666667
"455",-1.5,127.5,524.44871
"456",-1.5,128.5,472.076409313725
"457",-1.5,129.5,605.185818627451
"458",-1.5,130.5,902.720365757576
"459",-1.5,131.5,1442.28130882353
"460",-1.5,132.5,NA
"461",-1.5,134.5,385.725711309524
"462",-1.5,135.5,369.985525641026
"463",-1.5,136.5,446.892156004489
"464",-1.5,137.5,876.158434027778
"465",-1.5,138.5,869.388973214286
"466",-1.5,139.5,490.443546296296
"467",-1.5,140.5,388.837546296296
"468",-1.5,141.5,356.96493287037
"469",-0.5,93.5,234.611405092593
"470",-0.5,94.5,240.05824537037
"471",-0.5,95.5,256.733578703704
"472",-0.5,96.5,283.514050925926
"473",-0.5,97.5,316.422391203704
"474",-0.5,98.5,395.839724573864
"475",-0.5,99.5,447.512645833333
"476",-0.5,100.5,571.079805555556
"477",-0.5,103.5,2203.34419270833
"478",-0.5,104.5,1393.15355944865
"479",-0.5,105.5,644.682712962963
"480",-0.5,106.5,501.951965277778
"481",-0.5,107.5,528.954337962963
"482",-0.5,108.5,1095.81958333333
"483",-0.5,109.5,2787.7417037037
"484",-0.5,117.5,1114.91655392157
"485",-0.5,118.5,401.304377314815
"486",-0.5,119.5,367.069458333333
"487",-0.5,120.5,293.102040322581
"488",-0.5,121.5,301.966520123106
"489",-0.5,122.5,344.504121794872
"490",-0.5,123.5,505.4916
"491",-0.5,124.5,478.339212962963
"492",-0.5,125.5,431.886956018519
"493",-0.5,126.5,500.787511574074
"494",-0.5,127.5,520.420924603175
"495",-0.5,128.5,427.079808823529
"496",-0.5,129.5,511.152433333333
"497",-0.5,130.5,573.010238095238
"498",-0.5,131.5,416.418223484849
"499",-0.5,132.5,365.277852564103
"500",-0.5,133.5,352.701949275362
"501",-0.5,134.5,338.180050505051
"502",-0.5,135.5,334.510612658847
"503",-0.5,136.5,330.895361904762
"504",-0.5,137.5,330.288861111111
"505",-0.5,138.5,352.782826388889
"506",-0.5,139.5,324.688215277778
"507",-0.5,140.5,312.184048611111
"508",-0.5,141.5,300.186712962963
"509",0.5,92.5,230.612944444444
"510",0.5,93.5,233.674798611111
"511",0.5,94.5,242.725263888889
"512",0.5,95.5,263.900083333333
"513",0.5,96.5,295.266101851852
"514",0.5,97.5,374.781586060606
"515",0.5,98.5,481.190878571429
"516",0.5,99.5,846.990611111111
"517",0.5,102.5,NA
"518",0.5,103.5,1805.04348595849
"519",0.5,104.5,918.812637254902
"520",0.5,105.5,541.321655092593
"521",0.5,106.5,448.997555555556
"522",0.5,107.5,561.172407142857
"523",0.5,108.5,1143.92202696078
"524",0.5,109.5,2990.68725
"525",0.5,117.5,629.150240740741
"526",0.5,118.5,494.868947222222
"527",0.5,119.5,372.404277777778
"528",0.5,120.5,368.363120454545
"529",0.5,121.5,370.963927777778
"530",0.5,122.5,381.038295833333
"531",0.5,123.5,405.739925925926
"532",0.5,124.5,452.377416666667
"533",0.5,125.5,456.552800925926
"534",0.5,126.5,467.123581018519
"535",0.5,127.5,535.046395833333
"536",0.5,128.5,423.396430555556
"537",0.5,129.5,438.991486111111
"538",0.5,130.5,376.373798611111
"539",0.5,131.5,345.062377314815
"540",0.5,132.5,311.453951388889
"541",0.5,133.5,295.572497685185
"542",0.5,134.5,279.61293287037
"543",0.5,135.5,272.272784722222
"544",0.5,136.5,267.184060185185
"545",0.5,137.5,264.965224537037
"546",0.5,138.5,263.648034722222
"547",0.5,139.5,267.193733796296
"548",0.5,140.5,267.794418981481
"549",0.5,141.5,265.752625
"550",1.5,92.5,232.840171296296
"551",1.5,93.5,235.322576388889
"552",1.5,94.5,246.3920625
"553",1.5,95.5,269.280722222222
"554",1.5,96.5,309.52719212963
"555",1.5,97.5,454.524922979798
"556",1.5,98.5,690.681827380952
"557",1.5,100.5,NA
"558",1.5,101.5,2065.74416666667
"559",1.5,102.5,1796.12304807692
"560",1.5,103.5,1778.99754545455
"561",1.5,104.5,871.97757816092
"562",1.5,105.5,415.736900462963
"563",1.5,106.5,393.452590277778
"564",1.5,107.5,437.53150462963
"565",1.5,108.5,803.831155092593
"566",1.5,109.5,1209.47264351852
"567",1.5,110.5,2051.8595625
"568",1.5,111.5,2556.65388888889
"569",1.5,117.5,NA
"570",1.5,118.5,754.575996212121
"571",1.5,119.5,355.254134259259
"572",1.5,120.5,319.178578431373
"573",1.5,121.5,319.514591145833
"574",1.5,122.5,304.637648148148
"575",1.5,123.5,303.597842592593
"576",1.5,124.5,332.014128472222
"577",1.5,125.5,519.04623655914
"578",1.5,126.5,476.980131944444
"579",1.5,127.5,488.667925
"580",1.5,128.5,444.936858024691
"581",1.5,129.5,377.874314814815
"582",1.5,130.5,327.947081018519
"583",1.5,131.5,311.554856481481
"584",1.5,132.5,298.626354166667
"585",1.5,133.5,291.726527777778
"586",1.5,134.5,281.262803240741
"587",1.5,135.5,277.531025462963
"588",1.5,136.5,271.620712962963
"589",1.5,137.5,265.142912037037
"590",1.5,138.5,263.776175925926
"591",1.5,139.5,262.239833333333
"592",1.5,140.5,262.08143287037
