OBJECTID,year,longitude,latitude,conflict,conflict50nmi,conflict100nmi,fatalities100nmi,conflict150nmi,conflict200nmi,ocean_prd,ind_iuu000,nid_iuu000,iuu000,battle_count100nmi,protest_count100nmi,civilian_count100nmi,conflictm712,fatam712,ocp16,ocp1014mean,annual_catch1014,annual_indcatch1014,annual_nidcatch1014,conflict2016,catchdev,indcatchdev,nidcatchdev,indcatch000,nidcatch000,catch000,devgroup1,devgroup2,devgroup3,devgroup4,prodummy1,prodummy2,prodummy3,prodummy4,prodummy5,prodummy6,prodummy7,prodummy8,prodummy9,prodummy10,prodummy11,prodummy12,prodummy13,prodummy14,prodummy15,prodummy16,prodummy17,prodummy18,prodummy19,prodummy20,prodummy21,prodummy22,prodummy23,prodummy24,prodummy25,prodummy26,prodummy27,prodummy28,prodummy29,prodummy30,prodummy31,prodummy32,prodummy33,prodummy34
158,2015,140.403035575,-12.3375096425,0,0,0,0,0,0,606.6549224853516,0.14549227058887482,0,0.14549227058887482,0,0,0,0,0,675.3970947265625,547.458740234375,0.3093246817588806,0.3093246817588806,0,0,-1.9754679203033447,-1.7086244821548462,-1.7563519477844238,0.2382449209690094,0,0.2382449209690094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
159,2015,141.40016554,-12.3375096425,0,0,0,0,0,0,804.1394788953993,0.22619926929473877,0,0.22619928419589996,0,0,0,0,0,854.17901611328125,853.8367919921875,0.5462050437927246,0.5462050437927246,0,0,-1.6377288103103638,-1.8855361938476562,-1.3937948942184448,0.4769133925437927,0,0.4769133925437927,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,2015,106.500616752,-11.3616412701,0,0,0,0,0,0,285.3855336507161,1.3733000378124416e-4,0,1.3732998922932893e-4,0,0,0,0,0,209.3378448486328,270.65045166015625,0.0022275960072875023,0.0022275960072875023,0,0,-1.708090901374817,-1.7319790124893188,-1.6930298805236816,6.794700166210532e-4,0,6.794700166210532e-4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2015,107.497746717,-11.3616412701,0,0,0,0,0,0,289.9106504652235,0.0014491600450128317,0,0.0014491599285975099,0,0,0,0,0,218.48008728027344,272.7879638671875,0.002602654043585062,0.002602654043585062,0,0,-1.7072864770889282,-1.729803204536438,-1.6930298805236816,0.0048581999726593494,0,0.0048581999726593494,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2015,108.494876683,-11.3616412701,0,0,0,0,0,5,299.2893091837565,0.0028187499847263098,0,0.0028187499847263098,0,0,0,0,0,224.7398223876953,279.8975524902344,0.027728309854865074,0.02772395685315132,4.353999884187942e-6,0,-1.7077378034591675,-1.7314317226409912,-1.6930373907089233,0.02529584988951683,0,0.02529584802687168,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2015,109.492006648,-11.3616412701,0,0,0,0,0,16,299.9432678222656,0.024936020374298096,0,0.024936020374298096,0,0,0,0,0,219.95753479003906,286.10516357421875,0.16635094583034515,0.16633597016334534,1.4980000742070843e-5,0,-1.6646746397018433,-1.6126165390014648,-1.6930419206619263,0.28222784399986267,0,0.28222784399986267,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2015,110.489136613,-11.3616412701,0,0,0,0,0,21,314.0576943291558,0.008382320404052734,0,0.008382320404052734,0,0,0,0,0,230.23910522460938,292.6165771484375,0.2732495069503784,0.27322155237197876,2.7973999749519862e-5,0,-1.7357624769210815,-1.8087466955184937,-1.6930545568466187,0.08826993405818939,0,0.08826993405818939,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2015,111.486266579,-11.3616412701,0,0,0,0,0,40,325.4812215169271,0.009425509721040726,0,0.009425509721040726,0,0,0,0,0,240.9112548828125,303.2554016113281,0.0927901566028595,0.09278736263513565,2.797999968606746e-6,0,-1.7067437171936035,-1.7293628454208374,-1.6930583715438843,0.09919439256191254,0,0.09919439256191254,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2015,112.483396544,-11.3616412701,0,0,0,0,0,33,339.4786080254449,0.009592290036380291,0,0.009592290036380291,0,0,0,0,0,250.39022827148438,317.0860900878906,0.12145360559225082,0.12144359201192856,1.001799955702154e-5,0,-1.7145576477050781,-1.7506061792373657,-1.6930474042892456,0.10835282504558563,0,0.10835283249616623,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2015,113.48052651,-11.3616412701,0,0,0,0,5,35,340.9688313802083,0.016339249908924103,0,0.016339249908924103,0,0,0,0,0,256.18695068359375,326.77685546875,0.1774638295173645,0.17742878198623657,3.504400228848681e-5,0,-1.7002257108688354,-1.7112396955490112,-1.6930475234985352,0.19613926112651825,0,0.19613926112651825,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
