"","X","...1","latitude","longitude","sum_IUU","sum_reported","coords","sum_NIUU","sum_Nreported","total_IUU_catch","total_catch","conflict0nmi","conflict50nmi","conflict100nmi","conflict150nmi","conflict200nmi","fatalities100nmi","ocean_ord","ocean_prd","prodummy1","prodummy2","prodummy3","prodummy4","prodummy5","prodummy6","prodummy7","prodummy8","prodummy9","prodummy10","prodummy11","prodummy12","prodummy13","prodummy14","prodummy15","prodummy16","prodummy17","prodummy18","prodummy19","prodummy20","prodummy21","prodummy22","prodummy23","prodummy24","prodummy25","prodummy26","prodummy27","prodummy28","prodummy29","prodummy30","prodummy31","prodummy32","prodummy33","prodummy34","indcatch000","nidcatch000","catch000"
"26",26,26,-12.5,139.5,61.76741,194.89872,"139.5,-12.5",0,0,61.76741,194.89872,0,0,0,0,0,0,548.947444444444,548.947444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.19489872,0,0.19489872
"27",27,27,-12.5,140.5,145.49227,238.24492,"140.5,-12.5",0,0,145.49227,238.24492,0,0,0,0,0,0,617.35668287037,617.35668287037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.23824492,0,0.23824492
"28",28,28,-12.5,141.5,226.19928,476.91337,"141.5,-12.5",0,0,226.19928,476.91337,0,0,0,0,0,0,924.082368589744,924.082368589744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.47691337,0,0.47691337
"29",29,29,-11.5,106.5,0.13733,0.67947,"106.5,-11.5",0,0,0.13733,0.67947,0,0,0,0,0,0,296.403354166667,296.403354166667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067947,0,0.00067947
"30",30,30,-11.5,107.5,1.44916,4.8582,"107.5,-11.5",0,0,1.44916,4.8582,0,0,0,0,0,0,300.886032407407,300.886032407407,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048582,0,0.0048582
"31",31,31,-11.5,108.5,2.81875,25.29585,"108.5,-11.5",0,0,2.81875,25.29585,0,0,0,0,0,0,306.64694212963,306.64694212963,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02529585,0,0.02529585
"32",32,32,-11.5,109.5,24.93602,282.22784,"109.5,-11.5",0,0,24.93602,282.22784,0,0,0,0,4,0,309.443673611111,309.443673611111,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28222784,0,0.28222784
"33",33,33,-11.5,110.5,8.38232,88.26993,"110.5,-11.5",0,0,8.38232,88.26993,0,0,0,0,12,1,321.575877314815,321.575877314815,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08826993,0,0.08826993
"34",34,34,-11.5,111.5,9.42551,99.19439,"111.5,-11.5",0,0,9.42551,99.19439,0,0,0,0,1,0,330.915810185185,330.915810185185,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09919439,0,0.09919439
"35",35,35,-11.5,112.5,9.59229,108.35283,"112.5,-11.5",0,0,9.59229,108.35283,0,0,0,0,18,1,341.321,341.321,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10835283,0,0.10835283
"36",36,36,-11.5,113.5,16.33925,196.13926,"113.5,-11.5",0,0,16.33925,196.13926,0,0,0,4,10,3,335.618685185185,335.618685185185,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.19613926,0,0.19613926
